geo_point_2d,fenomeno,taxonomia,intensidad,alcaldia,area_m2,period_ret,intens_num,int2
"19.3628767409,-99.2270030874",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,251046.580885,5 años,60 a 64,3
"19.359713645,-99.1126636533",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,263600.343771,5 años,54 a 60,2
"19.3499612368,-99.0618445374",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,153030.578543,5 años,54 a 60,2
"19.3743243684,-99.0503042071",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,26861.4425954,5 años,54 a 60,2
"19.3232006479,-99.045198103",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,67828.0628937,5 años,41 a 54,1
"19.3480055338,-99.1154810956",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,339455.288871,5 años,54 a 60,2
"19.3109881499,-99.0899412391",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,27155.7556251,5 años,54 a 60,2
"19.3736559787,-99.056245848",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,37639.6409763,5 años,54 a 60,2
"19.3405068835,-99.0503516331",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,239240.456433,5 años,41 a 54,1
"19.3288934357,-99.0344088057",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,243214.822681,5 años,41 a 54,1
"19.3592218638,-99.1255932466",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,200770.535787,5 años,54 a 60,2
"19.3464836199,-99.049692185",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,414508.712706,5 años,41 a 54,1
"19.2921838295,-99.1816848148",Hidrometeorológicos,Precipitación,Medio,Tlalpan,311640.536152,5 años,60 a 64,3
"19.3804094569,-99.1487503632",Hidrometeorológicos,Precipitación,Bajo,Benito Juárez,282519.247758,5 años,54 a 60,2
"19.2006471732,-99.1073077931",Hidrometeorológicos,Precipitación,Alto,Xochimilco,265268.917415,5 años,64 a 70,4
"19.3943375177,-99.1644827956",Hidrometeorológicos,Precipitación,Medio,Benito Juárez,263745.307966,5 años,60 a 64,3
"19.3759522163,-99.1825661443",Hidrometeorológicos,Precipitación,Medio,Benito Juárez,272482.293999,5 años,60 a 64,3
"19.4011587376,-99.1588058018",Hidrometeorológicos,Precipitación,Medio,Benito Juárez,233161.957085,5 años,60 a 64,3
"19.2564822974,-99.1164296978",Hidrometeorológicos,Precipitación,Medio,Xochimilco,297510.247414,5 años,60 a 64,3
"19.3968511136,-99.1324927771",Hidrometeorológicos,Precipitación,Bajo,Benito Juárez,132146.044995,5 años,54 a 60,2
"19.2547992126,-99.1199643562",Hidrometeorológicos,Precipitación,Medio,Xochimilco,217762.817735,5 años,60 a 64,3
"19.2688047671,-99.1093627879",Hidrometeorológicos,Precipitación,Bajo,Xochimilco,449912.131062,5 años,54 a 60,2
"19.2489694938,-99.0895419334",Hidrometeorológicos,Precipitación,Bajo,Xochimilco,430676.424933,5 años,54 a 60,2
"19.2561786983,-99.0900266098",Hidrometeorológicos,Precipitación,Bajo,Xochimilco,1190487.05737,5 años,54 a 60,2
"19.284053003,-99.1996374836",Hidrometeorológicos,Precipitación,Medio,Tlalpan,364991.748111,5 años,60 a 64,3
"19.2490598024,-99.1634008697",Hidrometeorológicos,Precipitación,Medio,Tlalpan,502191.819873,5 años,60 a 64,3
"19.3061780961,-99.0473472702",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,133108.028668,5 años,41 a 54,1
"19.35448003,-99.1787221421",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,428645.790817,5 años,60 a 64,3
"19.2948004811,-99.0380209762",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,275652.653875,5 años,41 a 54,1
"19.301202345,-99.1772404185",Hidrometeorológicos,Precipitación,Medio,Tlalpan,148142.332365,5 años,60 a 64,3
"19.3846282449,-99.2242153571",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,129319.922846,5 años,64 a 70,4
"19.2609460682,-99.1174357785",Hidrometeorológicos,Precipitación,Medio,Xochimilco,228171.40529,5 años,60 a 64,3
"19.23759596,-99.003174216",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,1289814.50295,5 años,41 a 54,1
"19.3960004407,-99.2169276338",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,452299.466118,5 años,64 a 70,4
"19.2915100616,-99.0327896643",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,268559.070515,5 años,41 a 54,1
"19.3933687069,-99.2035452412",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,43866.4204799,5 años,64 a 70,4
"19.2929571378,-99.0509176156",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,207535.422765,5 años,41 a 54,1
"19.2647610549,-99.2021848756",Hidrometeorológicos,Precipitación,Medio,Tlalpan,971697.381809,5 años,60 a 64,3
"19.3668261671,-99.2550861825",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,741384.578132,5 años,60 a 64,3
"19.2284921231,-98.9668113753",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,529313.226844,5 años,41 a 54,1
"19.3419018187,-99.2540388952",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,1359093.52051,5 años,60 a 64,3
"19.2703936016,-99.1659508925",Hidrometeorológicos,Precipitación,Medio,Tlalpan,500250.11569,5 años,60 a 64,3
"19.3570638922,-99.2116846028",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,127250.670344,5 años,60 a 64,3
"19.3378653565,-99.1963520757",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,541834.343477,5 años,60 a 64,3
"19.2856101498,-99.2315451201",Hidrometeorológicos,Precipitación,Medio,Tlalpan,254446.600905,5 años,60 a 64,3
"19.3732841105,-99.2181419103",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,308614.920646,5 años,64 a 70,4
"19.2796008329,-99.1713937942",Hidrometeorológicos,Precipitación,Medio,Tlalpan,34269.8225817,5 años,60 a 64,3
"19.2960286894,-99.048426388",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,287953.750576,5 años,41 a 54,1
"19.3563410356,-99.2191776396",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,462188.445691,5 años,60 a 64,3
"19.3800347904,-99.1942503334",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,62402.1984919,5 años,64 a 70,4
"19.3765263391,-99.1976190755",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,173872.021234,5 años,64 a 70,4
"19.3894907236,-99.2089732106",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,37121.4528638,5 años,64 a 70,4
"19.27434366,-99.0034735433",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,146666.865745,5 años,41 a 54,1
"19.3817275445,-99.2075835445",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,291973.144907,5 años,64 a 70,4
"19.3796989364,-99.2405574067",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,171387.470383,5 años,64 a 70,4
"19.2443720833,-99.0099951187",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,675415.392076,5 años,41 a 54,1
"19.3744020694,-99.1935502054",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,150215.461589,5 años,60 a 64,3
"19.3595469558,-99.2448274588",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,170500.738283,5 años,60 a 64,3
"19.3394986094,-98.9936890237",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,188308.785814,5 años,41 a 54,1
"19.3665871269,-99.1206775705",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,233348.741023,5 años,54 a 60,2
"19.360214616,-99.1161557039",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,228398.895935,5 años,54 a 60,2
"19.3407944155,-99.0246710265",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,317840.58015,5 años,41 a 54,1
"19.406936842,-99.0668577583",Hidrometeorológicos,Precipitación,Bajo,Iztacalco,71250.0770742,5 años,54 a 60,2
"19.2876947833,-99.0715163014",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,64626.5161846,5 años,54 a 60,2
"19.3822348351,-99.0538392514",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,68788.7348901,5 años,54 a 60,2
"19.3442139937,-99.0444216641",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,194062.034289,5 años,41 a 54,1
"19.3740654102,-99.0545840081",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,11110.1747761,5 años,54 a 60,2
"19.3792905891,-99.1331045928",Hidrometeorológicos,Precipitación,Bajo,Iztacalco,185571.428134,5 años,54 a 60,2
"19.390658948,-99.0383904486",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,37323.7690322,5 años,54 a 60,2
"19.3900663289,-99.0401606673",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,121032.784566,5 años,54 a 60,2
"19.3585336935,-99.0594190189",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,344807.193401,5 años,54 a 60,2
"19.3578313171,-99.2327204323",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,125642.367265,5 años,60 a 64,3
"19.3651357122,-98.9994377697",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,164741.688806,5 años,41 a 54,1
"19.3600205479,-99.0553050144",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,278523.397073,5 años,54 a 60,2
"19.3613715385,-99.0731243865",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,387899.453161,5 años,54 a 60,2
"19.3387239165,-99.0118651775",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,169236.904938,5 años,41 a 54,1
"19.3057503806,-99.0830058902",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,157984.908999,5 años,54 a 60,2
"19.3326781082,-99.0746221315",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,12892.3425219,5 años,54 a 60,2
"19.3957433602,-99.0796145972",Hidrometeorológicos,Precipitación,Bajo,Iztacalco,469339.970797,5 años,54 a 60,2
"19.3399289419,-99.1023994121",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,164081.177641,5 años,54 a 60,2
"19.3362888359,-98.9965108183",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,171557.797028,5 años,41 a 54,1
"19.3214383447,-99.0429147808",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,188888.729902,5 años,41 a 54,1
"19.3666975692,-99.1178485965",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,180190.897261,5 años,54 a 60,2
"19.3416646891,-99.2361050336",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,856854.924248,5 años,60 a 64,3
