folio,incidente_c4,fecha_creacion,latitud,longitud
C5/190103/04497,Inundacion,2019-01-03,19.384348,-99.191522
C5/190103/04003,Encharcamiento,2019-01-03,19.38456,-99.190621
C5/190103/04237,Inundacion,2019-01-03,19.38456,-99.190621
C5/190202/04894,Encharcamiento,2019-02-02,19.360221,-99.14341
C5/190626/06427,Inundacion,2019-06-26,19.244516,-99.240369
C5/190114/03899,Encharcamiento,2019-01-14,19.509934,-99.209663
C5/190630/07544,Encharcamiento,2019-06-30,19.546486,-99.142713
C5/190630/04866,Encharcamiento,2019-06-30,19.522177,-99.152886
C5/190630/06144,Encharcamiento,2019-06-30,19.318877,-99.258791
C5/190630/04082,Encharcamiento,2019-06-30,19.360829,-99.142702
C5/190629/04598,Encharcamiento,2019-06-29,19.441921,-99.131932
C5/190628/04570,Encharcamiento,2019-06-28,19.409076,-99.115602
C5/190628/04445,Encharcamiento,2019-06-28,19.409076,-99.115602
C5/190627/04001,Encharcamiento,2019-06-27,19.423382,-99.141404
C5/190618/07590,Inundacion,2019-06-18,19.254608,-99.056358
C5/190618/05645,Inundacion,2019-06-18,19.381695,-99.146015
C5/190618/06642,Inundacion,2019-06-18,19.304217,-99.164312
C5/190618/06444,Inundacion,2019-06-18,19.280964,-99.166196
C5/190619/04755,Inundacion,2019-06-19,19.340311,-99.024852
C5/190619/04847,Inundacion,2019-06-19,19.34731,-99.018079
C5/190619/05350,Inundacion,2019-06-19,19.372413,-99.016981
C5/190619/05084,Inundacion,2019-06-19,19.34731,-99.018079
C5/190619/05093,Inundacion,2019-06-19,19.367532,-99.013843
C5/190619/04916,Inundacion,2019-06-19,19.34731,-99.018079
C5/190619/04897,Inundacion,2019-06-19,19.353076,-99.01128
C5/190619/04894,Inundacion,2019-06-19,19.34731,-99.018079
C5/190618/07955,Inundacion,2019-06-18,19.370499,-99.051288
C5/190615/10066,Inundacion,2019-06-15,19.499992,-99.069943
C5/190615/10109,Encharcamiento,2019-06-15,19.501367,-99.071734
C5/190615/10152,Inundacion,2019-06-15,19.493996,-99.068012
C5/190305/07278,Encharcamiento,2019-03-05,19.2574,-99.129086
C5/190305/07277,Inundacion,2019-03-05,19.256757,-99.132149
C5/190305/07121,Inundacion,2019-03-05,19.353853,-99.036695
C5/190305/07082,Inundacion,2019-03-05,19.381289,-99.100217
C5/190305/06946,Inundacion,2019-03-05,19.373212,-99.018233
C5/190305/06955,Inundacion,2019-03-05,19.256757,-99.132149
C5/190305/06854,Encharcamiento,2019-03-05,19.366416,-99.002064
C5/190305/06879,Encharcamiento,2019-03-05,19.365711,-99.002085
C5/190305/06717,Encharcamiento,2019-03-05,19.361204,-98.999794
C5/190305/06775,Inundacion,2019-03-05,19.365998,-99.021706
C5/190305/06709,Inundacion,2019-03-05,19.40187,-99.161927
C5/190305/06638,Inundacion,2019-03-05,19.349009,-99.020897
C5/190305/06668,Inundacion,2019-03-05,19.372413,-99.016981
C5/190305/06615,Inundacion,2019-03-05,19.42263,-99.16277
C5/190305/06516,Inundacion,2019-03-05,19.372413,-99.016981
C5/190305/06528,Inundacion,2019-03-05,19.42263,-99.16277
C5/190305/06619,Inundacion,2019-03-05,19.353853,-99.036695
C5/190305/06402,Inundacion,2019-03-05,19.353853,-99.036695
C5/190305/06520,Encharcamiento,2019-03-05,19.368158,-99.028024
C5/190305/06551,Encharcamiento,2019-03-05,19.4061,-99.172321
C5/190305/06687,Inundacion,2019-03-05,19.361293,-99.004218
C5/190305/06781,Inundacion,2019-03-05,19.38056,-99.073247
C5/190225/05733,Inundacion,2019-02-25,19.3311,-99.162055
C5/190624/00022,Inundacion,2019-06-24,19.246182,-99.070137
C5/190308/02349,Encharcamiento,2019-03-08,19.472154,-99.066314
C5/190623/09688,Encharcamiento,2019-06-23,19.24784,-99.126399
C5/190623/09777,Encharcamiento,2019-06-23,19.258063,-99.072751
C5/190623/09544,Encharcamiento,2019-06-23,19.244348,-99.068539
C5/190623/09562,Encharcamiento,2019-06-23,19.245089,-99.074115
C5/190623/09601,Encharcamiento,2019-06-23,19.24605,-99.085995
C5/190623/09666,Encharcamiento,2019-06-23,19.254608,-99.056358
C5/190623/09671,Encharcamiento,2019-06-23,19.250984,-99.088651
C5/190623/09488,Encharcamiento,2019-06-23,19.450627,-99.14269
C5/190623/09494,Encharcamiento,2019-06-23,19.25291,-99.124478
C5/190623/09497,Encharcamiento,2019-06-23,19.250903,-99.010259
C5/190623/09043,Encharcamiento,2019-06-23,19.456742,-99.14142
C5/190623/09122,Encharcamiento,2019-06-23,19.256757,-99.132149
C5/190623/09667,Encharcamiento,2019-06-23,19.24605,-99.085995
C5/190624/00011,Inundacion,2019-06-24,19.250984,-99.088651
C5/190623/09508,Inundacion,2019-06-23,19.463333,-99.139305
C5/190623/09584,Inundacion,2019-06-23,19.445197,-99.144375
C5/190623/08736,Inundacion,2019-06-23,19.459537,-99.138299
C5/190625/02671,Encharcamiento,2019-06-25,19.442228,-99.135666
C5/190625/02621,Encharcamiento,2019-06-25,19.42455,-99.143055
C5/190325/06634,Inundacion,2019-03-25,19.362261,-99.143391
C5/190331/06993,Encharcamiento,2019-03-31,19.415246,-99.142491
C5/190304/07936,Encharcamiento,2019-03-04,19.449164,-99.165007
C5/190304/01888,Encharcamiento,2019-03-04,19.485617,-99.116114
C5/190307/02454,Inundacion,2019-03-07,19.301381,-99.193577
C5/190305/06659,Inundacion,2019-03-05,19.361204,-98.999794
C5/190627/06672,Inundacion,2019-06-27,19.349258,-99.303687
C5/190627/06439,Inundacion,2019-06-27,19.261099,-99.166428
C5/190226/02821,Encharcamiento,2019-02-26,19.339096,-99.189827
C5/190621/01970,Encharcamiento,2019-06-21,19.51096,-99.201776
C5/190621/00244,Encharcamiento,2019-06-21,19.466677,-99.141863
C5/190620/08841,Encharcamiento,2019-06-20,19.472717,-99.129961
C5/190322/04991,Encharcamiento,2019-03-22,19.38866,-99.138395
C5/190627/04968,Inundacion,2019-06-27,19.417334,-99.12149
C5/190620/07524,Inundacion,2019-06-20,19.472029,-99.061749
C5/190620/07527,Inundacion,2019-06-20,19.491028,-99.087166
C5/190620/07393,Inundacion,2019-06-20,19.472029,-99.061749
C5/190620/07451,Encharcamiento,2019-06-20,19.34731,-99.018079
C5/190620/07262,Inundacion,2019-06-20,19.492763,-99.079987
C5/190620/07130,Inundacion,2019-06-20,19.390449,-99.081376
C5/190620/07149,Inundacion,2019-06-20,19.472029,-99.061749
C5/190620/07110,Inundacion,2019-06-20,19.490369,-99.077019
C5/190620/07069,Inundacion,2019-06-20,19.502949,-99.081203
C5/190620/07075,Inundacion,2019-06-20,19.498671,-99.076285
C5/190620/06973,Inundacion,2019-06-20,19.489645,-99.070502
C5/190620/06967,Inundacion,2019-06-20,19.505935,-99.087341
C5/190620/06881,Inundacion,2019-06-20,19.501777,-99.091754
C5/190620/06896,Inundacion,2019-06-20,19.49073,-99.073176
C5/190620/06710,Inundacion,2019-06-20,19.545717,-99.133874
C5/190620/06686,Inundacion,2019-06-20,19.501367,-99.071734
C5/190620/06689,Inundacion,2019-06-20,19.490369,-99.077019
C5/190620/06788,Encharcamiento,2019-06-20,19.490042,-99.07143
